:nemesis	:info	:start-partition	:majorities-ring
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2"}, "n2" #{"n1"}, "n1" #{"n0"}}]
1	:ok	:generate	"1751a51d-d606-4813-b284-edd919f81784"
2	:ok	:generate	"10035068-430c-4c0d-8aee-c155742691f3"
1	:invoke	:generate	nil
0	:ok	:generate	"fe1cfb20-a50b-408f-ab74-7758ae6a6a13"
2	:invoke	:generate	nil
1	:ok	:generate	"15647b93-3c01-4f44-a23f-079ee6c6ce3a"
2	:ok	:generate	"ca3a3b9a-ad46-4144-9a8a-7090fa1909ae"
2	:invoke	:generate	nil
2	:ok	:generate	"1ee7c926-fd28-4647-a16a-7af920214019"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"7d384ad0-9b7a-4c2b-bde3-3ac0aaaf9448"
1	:ok	:generate	"d437bada-4cf6-4437-95b0-6272e8569eca"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"e78f5bc7-be17-4172-a55f-29b85296489d"
2	:ok	:generate	"5f4607ea-eaad-4689-9826-7e4ae73e0277"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"dfae41f5-c3ca-4363-a3d5-fe3546b3ef4b"
1	:ok	:generate	"329ae051-d267-4753-af23-8b8be09758a5"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"29b2560a-bfdc-48d1-a784-0f1c4902cae5"
0	:invoke	:generate	nil
2	:ok	:generate	"3ec1afdf-1f09-4d47-a018-7ffee82f9163"
1	:invoke	:generate	nil
0	:ok	:generate	"b9bc00e7-804f-47d3-8203-146054087b29"
1	:ok	:generate	"ba7291f0-499d-4e01-be97-c3b3eddc8f6a"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"5fea167d-5df4-449d-bcfc-29366af05dda"
0	:invoke	:generate	nil
2	:ok	:generate	"dd56d71e-39f0-4522-b126-beace1af8778"
1	:invoke	:generate	nil
0	:ok	:generate	"38f908a4-7f66-48f1-868b-30dfc1787155"
1	:ok	:generate	"b55c8a31-5191-4f0e-9b16-56e54daca6f4"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"bc16084d-153e-4bf1-b83b-5ef5f434ffd6"
2	:ok	:generate	"f280353f-ddf8-48ad-b06f-14758d9b0e3e"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"ae745753-3a22-4310-a539-0039c499b914"
1	:ok	:generate	"8428a702-179b-4ec9-9db5-6adf11a351ac"
1	:invoke	:generate	nil
1	:ok	:generate	"66555fb2-6c4a-4afd-943f-03853d1bc231"
2	:invoke	:generate	nil
2	:ok	:generate	"ed254888-f667-43f6-8def-6656dd6c7d49"
0	:invoke	:generate	nil
0	:ok	:generate	"af13f945-88f8-4216-b51d-05adeb8a2aec"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"5460fa33-ef78-4b4f-bb7f-9846f4b02ed7"
2	:ok	:generate	"6afb9f31-0f93-4358-aed8-6a742c1b6695"
1	:ok	:generate	"2204e7c0-4747-4d86-b326-463827c7ba33"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"8cb1dc73-89f0-4504-bc38-4c670cfab449"
1	:ok	:generate	"36cb941a-5201-4764-9381-4eb6e0193409"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"8213ed5f-3953-4fa9-bd03-aa92961fcd57"
2	:ok	:generate	"acef751b-3b04-4d8d-8fc5-b099fe34314f"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"0e280044-9df2-4f64-bf61-e8407e67cbc7"
2	:invoke	:generate	nil
1	:ok	:generate	"908b233a-bfa4-46b6-a723-fb0757ef5adc"
0	:invoke	:generate	nil
2	:ok	:generate	"9e148a7d-7278-4401-b050-8b5662e2a1ae"
0	:ok	:generate	"642c0abc-7886-4dcb-8d70-a476446a5526"
0	:invoke	:generate	nil
0	:ok	:generate	"fe214ddc-b031-4050-bf2e-12643fd8e003"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"335d8048-2ea0-40b0-9f8f-c1ca0de0f016"
1	:ok	:generate	"c6dab14a-1557-4359-bb6a-13c7a427d1ba"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"12988eac-a95e-472c-acd1-f0a31e7a7dbc"
0	:ok	:generate	"7287c927-01d4-48b8-8c65-5896bfceb5e6"
0	:invoke	:generate	nil
0	:ok	:generate	"5c329657-c035-4582-aeed-50c0e28cc105"
1	:invoke	:generate	nil
1	:ok	:generate	"1c9247eb-d573-4cb4-84d8-6130d296139a"
2	:invoke	:generate	nil
2	:ok	:generate	"d6fcee7a-9e15-4ab5-aa58-8b9dc68860ed"
0	:invoke	:generate	nil
0	:ok	:generate	"9ff5be72-cb0b-4f45-9320-0aa04d9bd3a7"
0	:invoke	:generate	nil
0	:ok	:generate	"98babd75-2100-40e1-b20b-7508da7ef424"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	"239970ed-89b4-4cc0-b1f6-b195a7b70a4b"
1	:ok	:generate	"3ee9f892-19ba-4a48-b4a0-021cdc96c4f0"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"39dad752-e700-4de8-9292-64d86cbd438a"
1	:ok	:generate	"7f0c15f6-2931-416c-b800-58cbd6f76b33"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"f34e2d46-ce6d-44d0-b5f2-02175bab9f34"
0	:invoke	:generate	nil
2	:ok	:generate	"94094eb1-1606-4238-8024-0760429a6da6"
1	:invoke	:generate	nil
